Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
2026-07-02,10:28:26,BitGet,SOLUSDT,BUY,12.459507,80.26,1000.0000318200001,1.0000,999.00,PAPER-1782988106661,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $999.20"
2026-07-04,06:30:29,BitGet,SOLUSDT,SELL,12.459507,82.97,1000.0000318200001,0.8000,999.20,PAPER-STOP,PAPER,"Trailing stop hit — P&L $33.74 (3.37%) | Portfolio: $1032.11"
2026-07-04,06:30:29,BitGet,SOLUSDT,BUY,12.483207,82.68,1032.11155476,0.8257,1031.29,PAPER-1783146629721,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1031.29"
2026-07-04,09:00:30,BitGet,SOLUSDT,SELL,12.483207,82.28,1032.11155476,0.8257,1031.29,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-5.03 (-0.49%) | Portfolio: $1025.44"
2026-07-04,12:39:29,BitGet,SOLUSDT,BUY,12.589752,81.45,1025.4353004000002,0.8203,1024.62,PAPER-1783168769245,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1024.61"
2026-07-04,23:15:32,BitGet,SOLUSDT,SELL,12.589752,81.71,1025.4353004000002,0.8203,1024.62,PAPER-STOP,PAPER,"Trailing stop hit — P&L $3.27 (0.32%) | Portfolio: $1027.07"
2026-07-05,22:28:24,BitGet,SOLUSDT,BUY,12.494712,82.20,1027.0653264,0.8217,1026.24,PAPER-1783290504727,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1026.24"
2026-07-05,22:45:29,BitGet,SOLUSDT,SELL,12.494712,81.89,1027.0653264,0.8217,1026.24,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-3.86 (-0.38%) | Portfolio: $1021.57"
2026-07-05,22:45:29,BitGet,SOLUSDT,BUY,12.508504,81.67,1021.5695216800001,0.8173,1020.75,PAPER-1783291529771,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1020.75"
2026-07-06,00:30:29,BitGet,SOLUSDT,SELL,12.508504,81.34,1021.5695216800001,0.8173,1020.75,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-4.12 (-0.40%) | Portfolio: $1015.82"
2026-07-06,00:30:29,BitGet,SOLUSDT,BUY,12.508552,81.21,1015.8195079199999,0.8127,1015.01,PAPER-1783297829853,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1015.01"
2026-07-06,03:15:30,BitGet,SOLUSDT,SELL,12.508552,80.98,1015.8195079199999,0.8127,1015.01,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.92 (-0.29%) | Portfolio: $1011.27"
2026-07-07,01:13:13,BitGet,SOLUSDT,BUY,12.313099,82.13,1011.2748208699999,0.8090,1010.47,PAPER-1783386793244,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1010.47"
2026-07-07,02:30:31,BitGet,SOLUSDT,SELL,12.313099,81.84,1011.2748208699999,0.8090,1010.47,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-3.51 (-0.35%) | Portfolio: $1006.15"
2026-07-09,11:50:44,BitGet,SOLUSDT,BUY,12.982586,77.50,1006.150415,0.8049,1005.35,PAPER-1783597844442,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1005.35"
2026-07-10,13:00:30,BitGet,SOLUSDT,SELL,12.982586,78.99,1006.150415,0.8049,1005.35,PAPER-STOP,PAPER,"Trailing stop hit — P&L $19.32 (1.92%) | Portfolio: $1023.84"
2026-07-11,15:13:00,BitGet,SOLUSDT,BUY,13.021001,78.63,1023.84130863,0.8191,1023.02,PAPER-1783782780624,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1023.02"
2026-07-11,15:45:32,BitGet,SOLUSDT,SELL,13.021001,78.46,1023.84130863,0.8191,1023.02,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.23 (-0.22%) | Portfolio: $1019.97"
2026-07-11,15:45:32,BitGet,SOLUSDT,BUY,13.033131,78.26,1019.97283206,0.8160,1019.16,PAPER-1783784732985,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1019.16"
2026-07-11,16:45:29,BitGet,SOLUSDT,SELL,13.033131,78.04,1019.97283206,0.8160,1019.16,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.83 (-0.28%) | Portfolio: $1015.51"
2026-07-11,16:45:29,BitGet,SOLUSDT,BUY,13.057902,77.77,1015.51303854,0.8124,1014.70,PAPER-1783788329202,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1014.70"
2026-07-11,23:00:30,BitGet,SOLUSDT,SELL,13.057902,77.93,1015.51303854,0.8124,1014.70,PAPER-STOP,PAPER,"Trailing stop hit — P&L $2.07 (0.20%) | Portfolio: $1015.96"
2026-07-12,15:13:02,BitGet,SOLUSDT,BUY,13.110817,77.49,1015.95720933,0.8128,1015.14,PAPER-1783869182634,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1015.14"
2026-07-12,21:30:33,BitGet,SOLUSDT,SELL,13.110817,77.28,1015.95720933,0.8128,1015.14,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.81 (-0.28%) | Portfolio: $1011.52"
2026-07-14,06:15:29,BitGet,SOLUSDT,SELL,13.436828,75.28,1011.5244118400001,0.8092,1010.72,PAPER-1784009729244,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1010.72"
2026-07-14,11:15:32,BitGet,SOLUSDT,BUY,13.436828,75.47,1011.5244118400001,0.8092,1010.72,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.56 (-0.25%) | Portfolio: $1007.34"
2026-07-17,01:09:48,BitGet,SOLUSDT,SELL,13.308777,75.69,1007.34133113,0.8059,1006.54,PAPER-1784250588550,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1006.54"
2026-07-17,14:00:31,BitGet,SOLUSDT,BUY,13.308777,74.24,1007.34133113,0.8059,1006.54,PAPER-STOP,PAPER,"Trailing stop hit — P&L $19.29 (1.91%) | Portfolio: $1025.03"
2026-07-17,14:00:31,BitGet,SOLUSDT,SELL,13.788449,74.34,1025.0332986600001,0.8200,1024.21,PAPER-1784296831342,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1024.21"
2026-07-17,16:00:35,BitGet,SOLUSDT,BUY,13.788449,74.64,1025.0332986600001,0.8200,1024.21,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-4.16 (-0.41%) | Portfolio: $1019.23"
2026-07-17,16:00:35,BitGet,SOLUSDT,SELL,13.62794,74.79,1019.2336326000001,0.8154,1018.42,PAPER-1784304035064,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1018.42"
2026-07-17,17:15:29,BitGet,SOLUSDT,BUY,13.62794,75.22,1019.2336326000001,0.8154,1018.42,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-5.79 (-0.57%) | Portfolio: $1011.81"
2026-07-18,17:11:41,BitGet,SOLUSDT,SELL,13.470994,75.11,1011.80635934,0.8094,1011.00,PAPER-1784394701711,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1011.00"
2026-07-18,17:45:30,BitGet,SOLUSDT,BUY,13.470994,75.26,1011.80635934,0.8094,1011.00,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1.99 (-0.20%) | Portfolio: $1008.19"
2026-07-18,18:06:09,BitGet,SOLUSDT,SELL,13.374822,75.38,1008.1940823599999,0.8066,1007.39,PAPER-1784397969385,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1007.39"
2026-07-18,21:15:29,BitGet,SOLUSDT,BUY,13.374822,75.55,1008.1940823599999,0.8066,1007.39,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.30 (-0.23%) | Portfolio: $1004.28"
2026-07-18,21:15:29,BitGet,SOLUSDT,SELL,13.289358,75.57,1004.27678406,0.8034,1003.47,PAPER-1784409329913,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1003.47"
2026-07-19,02:15:30,BitGet,SOLUSDT,BUY,13.289358,75.73,1004.27678406,0.8034,1003.47,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.08 (-0.21%) | Portfolio: $1000.59"
2026-07-19,02:15:30,BitGet,SOLUSDT,SELL,13.141442,76.14,1000.58939388,0.8005,999.79,PAPER-1784427330190,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $999.79"
2026-07-19,02:45:33,BitGet,SOLUSDT,BUY,13.141442,76.28,1000.58939388,0.8005,999.79,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1.78 (-0.18%) | Portfolio: $997.20"
2026-07-19,02:45:33,BitGet,SOLUSDT,SELL,13.072936,76.28,997.20355808,0.7978,996.41,PAPER-1784429133812,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $996.41"
2026-07-19,14:45:29,BitGet,SOLUSDT,BUY,13.072936,76.31,997.20355808,0.7978,996.41,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-0.34 (-0.03%) | Portfolio: $995.27"
2026-07-19,23:37:25,BitGet,SOLUSDT,SELL,13.039062,76.33,995.2716024599999,0.7962,994.48,PAPER-1784504245131,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $994.48"
2026-07-20,00:15:33,BitGet,SOLUSDT,BUY,13.039062,76.56,995.2716024599999,0.7962,994.48,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.98 (-0.30%) | Portfolio: $990.70"
2026-07-20,01:11:27,BitGet,SOLUSDT,SELL,12.844502,77.13,990.6964392599999,0.7926,989.90,PAPER-1784509887934,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $989.90"
2026-07-20,09:30:30,BitGet,SOLUSDT,BUY,12.844502,76.55,990.6964392599999,0.7926,989.90,PAPER-STOP,PAPER,"Trailing stop hit — P&L $7.46 (0.75%) | Portfolio: $996.58"
2026-07-20,11:30:30,BitGet,SOLUSDT,SELL,13.010134,76.60,996.5762644,0.7973,995.78,PAPER-1784547030316,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $995.78"
2026-07-20,11:45:32,BitGet,SOLUSDT,BUY,13.010134,76.84,996.5762644,0.7973,995.78,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-3.10 (-0.31%) | Portfolio: $991.88"
2026-07-24,01:05:49,BitGet,SOLUSDT,SELL,13.054428,75.98,991.87543944,0.7935,991.08,PAPER-1784855149295,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $991.08"
2026-07-25,04:25:08,BitGet,SOLUSDT,BUY,13.054428,74.22,991.87543944,0.7935,991.08,PAPER-STOP,PAPER,"Trailing stop hit — P&L $22.95 (2.31%) | Portfolio: $1013.25"
2026-07-25,08:36:11,BitGet,SOLUSDT,SELL,13.733459,73.78,1013.25460502,0.8106,1012.44,PAPER-1784968571923,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1012.44"
2026-07-25,10:14:36,BitGet,SOLUSDT,BUY,13.733459,73.90,1013.25460502,0.8106,1012.44,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1.71 (-0.17%) | Portfolio: $1009.93"
2026-07-25,12:41:45,BitGet,SOLUSDT,SELL,13.664256,73.91,1009.92516096,0.8079,1009.12,PAPER-1784983305321,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1009.12"
2026-07-25,15:35:01,BitGet,SOLUSDT,BUY,13.664256,73.99,1009.92516096,0.8079,1009.12,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1.11 (-0.11%) | Portfolio: $1007.20"
2026-07-25,18:36:12,BitGet,SOLUSDT,BUY,13.497665,74.62,1007.1957623000001,0.8058,1006.39,PAPER-1785004572811,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1006.39"
2026-07-25,20:39:44,BitGet,SOLUSDT,SELL,13.497665,74.47,1007.1957623000001,0.8058,1006.39,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.00 (-0.20%) | Portfolio: $1003.59"
2026-07-25,20:39:44,BitGet,SOLUSDT,BUY,13.483677,74.43,1003.5900791100001,0.8029,1002.79,PAPER-1785011984742,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1002.79"
2026-07-27,14:30:37,BitGet,SOLUSDT,SELL,13.483677,76.60,1003.5900791100001,0.8029,1002.79,PAPER-STOP,PAPER,"Trailing stop hit — P&L $29.25 (2.91%) | Portfolio: $1031.21"
2026-07-27,22:50:37,BitGet,SOLUSDT,SELL,13.854775,74.43,1031.21090325,0.8250,1030.39,PAPER-1785192637562,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1030.39"
2026-07-28,15:00:33,BitGet,SOLUSDT,BUY,13.854775,73.37,1031.21090325,0.8250,1030.39,PAPER-STOP,PAPER,"Trailing stop hit — P&L $14.69 (1.42%) | Portfolio: $1044.26"
2026-07-28,15:00:33,BitGet,SOLUSDT,SELL,14.21921,73.44,1044.2587824,0.8354,1043.42,PAPER-1785250833910,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1043.42"
2026-07-28,15:30:40,BitGet,SOLUSDT,BUY,14.21921,73.73,1044.2587824,0.8354,1043.42,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-4.06 (-0.39%) | Portfolio: $1038.52"
2026-07-28,15:30:40,BitGet,SOLUSDT,SELL,13.983063,74.27,1038.52208901,0.8308,1037.69,PAPER-1785252640464,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1037.69"
2026-07-28,22:42:29,BitGet,SOLUSDT,BUY,13.983063,73.83,1038.52208901,0.8308,1037.69,PAPER-1785278549686,PAPER,"NKB reversal exit — P&L $6.15 (0.59%) | Portfolio: $1043.02"
2026-07-28,22:42:29,BitGet,SOLUSDT,BUY,14.127291,73.83,1043.01789453,0.8344,1042.18,PAPER-1785278549688,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1042.18"
2026-07-28,23:00:32,BitGet,SOLUSDT,SELL,14.127291,73.64,1043.01789453,0.8344,1042.18,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.69 (-0.26%) | Portfolio: $1038.66"
