Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
2026-07-02,00:19:27,BitGet,BTCUSDT,SELL,,60238.59,,,,BACKFILL,PAPER,"Trailing stop hit — P&L $21.43 | Portfolio: $1021.43 | Backfilled from safety-check-log (CSV write was missing on stop path; quantity unrecorded)"
2026-07-14,22:29:07,BitGet,BTCUSDT,BUY,0.015722,64967.41,1021.4176200200001,0.8171,1020.60,PAPER-1784068147159,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1020.61"
2026-07-15,00:45:29,BitGet,BTCUSDT,SELL,0.015722,64815.71,1021.4176200200001,0.8171,1020.60,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.39 (-0.23%) | Portfolio: $1017.41"
2026-07-15,00:45:29,BitGet,BTCUSDT,BUY,0.0157,64804.14,1017.424998,0.8139,1016.61,PAPER-1784076329599,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1016.60"
2026-07-15,02:30:31,BitGet,BTCUSDT,SELL,0.0157,64641.89,1017.424998,0.8139,1016.61,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.55 (-0.25%) | Portfolio: $1013.24"
2026-07-15,16:42:55,BitGet,BTCUSDT,BUY,0.015614,64895.00,1013.27053,0.8106,1012.46,PAPER-1784133775618,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1012.43"
2026-07-16,00:30:30,BitGet,BTCUSDT,SELL,0.015614,64661.14,1013.27053,0.8106,1012.46,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-3.65 (-0.36%) | Portfolio: $1007.97"
2026-07-16,22:37:39,BitGet,BTCUSDT,BUY,0.015717,64134.22,1007.9975357399999,0.8064,1007.19,PAPER-1784241459066,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1007.16"
2026-07-16,23:00:31,BitGet,BTCUSDT,SELL,0.015717,64037.07,1007.9975357399999,0.8064,1007.19,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1.53 (-0.15%) | Portfolio: $1004.83"
2026-07-18,17:11:41,BitGet,BTCUSDT,BUY,0.015627,64299.32,1004.80547364,0.8038,1004.00,PAPER-1784394701623,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1004.03"
2026-07-19,03:30:31,BitGet,BTCUSDT,SELL,0.015627,64720.81,1004.80547364,0.8038,1004.00,PAPER-STOP,PAPER,"Trailing stop hit — P&L $6.59 (0.66%) | Portfolio: $1009.81"
2026-07-19,03:30:31,BitGet,BTCUSDT,BUY,0.015614,64671.43,1009.7797080199999,0.8078,1008.97,PAPER-1784431831207,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1009.00"
2026-07-19,09:30:33,BitGet,BTCUSDT,SELL,0.015614,64616.45,1009.7797080199999,0.8078,1008.97,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-0.86 (-0.09%) | Portfolio: $1007.33"
2026-07-19,10:13:01,BitGet,BTCUSDT,SELL,0.015599,64575.00,1007.305425,0.8058,1006.50,PAPER-1784455981253,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1006.53"
2026-07-19,10:45:36,BitGet,BTCUSDT,BUY,0.015599,64642.28,1007.305425,0.8058,1006.50,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1.05 (-0.10%) | Portfolio: $1004.67"
2026-07-19,11:28:19,BitGet,BTCUSDT,SELL,0.015567,64538.17,1004.6656923899999,0.8037,1003.86,PAPER-1784460499328,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1003.87"
2026-07-19,17:15:30,BitGet,BTCUSDT,BUY,0.015567,64612.34,1004.6656923899999,0.8037,1003.86,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1.15 (-0.11%) | Portfolio: $1001.91"
2026-07-20,01:11:30,BitGet,BTCUSDT,SELL,0.015443,64875.67,1001.87497181,0.8015,1001.07,PAPER-1784509890039,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1001.11"
2026-07-20,11:30:33,BitGet,BTCUSDT,BUY,0.015443,64395.52,1001.87497181,0.8015,1001.07,PAPER-STOP,PAPER,"Trailing stop hit — P&L $7.41 (0.74%) | Portfolio: $1007.72"
2026-07-20,12:54:15,BitGet,BTCUSDT,SELL,0.015582,64671.20,1007.7066384,0.8062,1006.90,PAPER-1784552055427,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $1006.92"
2026-07-20,15:15:35,BitGet,BTCUSDT,BUY,0.015582,64839.18,1007.7066384,0.8062,1006.90,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-2.62 (-0.26%) | Portfolio: $1003.49"
2026-07-21,09:36:26,BitGet,BTCUSDT,BUY,0.01513,66323.38,1003.4727394,0.8028,1002.67,PAPER-1784626586938,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1002.69"
2026-07-21,18:00:39,BitGet,BTCUSDT,SELL,0.01513,66414.16,1003.4727394,0.8028,1002.67,PAPER-STOP,PAPER,"Trailing stop hit — P&L $1.37 (0.14%) | Portfolio: $1003.26"
2026-07-21,18:00:39,BitGet,BTCUSDT,BUY,0.015157,66191.00,1003.256987,0.8026,1002.45,PAPER-1784656839807,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1002.46"
2026-07-22,01:30:33,BitGet,BTCUSDT,SELL,0.015157,66440.65,1003.256987,0.8026,1002.45,PAPER-STOP,PAPER,"Trailing stop hit — P&L $3.78 (0.38%) | Portfolio: $1005.44"
